annex_iii_area,low_case_id,low_case_name,low_csi,high_case_id,high_case_name,high_csi,csi_difference,differing_dimensions,interpretation,dataset_version
biometrics,CSA-LITE-0031,London Metropolitan Police Live Facial Recognition,9,CSA-LITE-0037,SenseTime Xinjiang Ethnic Surveillance System,16,7,autonomy; vulnerability; oversight; recourse; scale; opacity; monitoring,"Within biometrics, CSI ranges from 9 to 16 (diff=7), driven by: autonomy, vulnerability, oversight, recourse, scale, opacity, monitoring",0.2.0
education_vocational_training,CSA-LITE-0011,France Parcoursup University Admission Algorithm,10,CSA-LITE-0003,UK Ofqual A-Level Calculated Grades Algorithm 2020,14,4,autonomy; oversight; opacity; monitoring,"Within education_vocational_training, CSI ranges from 10 to 14 (diff=4), driven by: autonomy, oversight, opacity, monitoring",0.2.0
employment_worker_management,CSA-LITE-0033,LinkedIn Job Recommendation Algorithmic Bias,9,CSA-LITE-0008,HireVue AI Video Interview Screening,13,4,decision_criticality; oversight; recourse; opacity,"Within employment_worker_management, CSI ranges from 9 to 13 (diff=4), driven by: decision_criticality, oversight, recourse, opacity",0.2.0
essential_services_benefits,CSA-LITE-0009,Allegheny Family Screening Tool Child Welfare,10,CSA-LITE-0002,Australian Robodebt Welfare Debt Recovery,16,6,autonomy; oversight; recourse; scale; opacity; monitoring,"Within essential_services_benefits, CSI ranges from 10 to 16 (diff=6), driven by: autonomy, oversight, recourse, scale, opacity, monitoring",0.2.0
law_enforcement,CSA-LITE-0010,Durham Constabulary HART Custody Risk Tool,11,CSA-LITE-0001,COMPAS Recidivism Risk Scoring Tool,14,3,recourse; scale; monitoring,"Within law_enforcement, CSI ranges from 11 to 14 (diff=3), driven by: recourse, scale, monitoring",0.2.0
migration_asylum_border_control,CSA-LITE-0019,EU iBorderCtrl Automated Border Deception Detection,11,CSA-LITE-0013,UK Home Office Visa Streaming Algorithm,16,5,autonomy; oversight; scale; monitoring,"Within migration_asylum_border_control, CSI ranges from 11 to 16 (diff=5), driven by: autonomy, oversight, scale, monitoring",0.2.0
non_annex_comparator,CSA-LITE-0023,Twitter Algorithmic Image Cropping Racial Bias,7,CSA-LITE-0022,Meta Facebook Content Amplification Algorithm,12,5,decision_criticality; vulnerability; oversight; opacity; monitoring,"Within non_annex_comparator, CSI ranges from 7 to 12 (diff=5), driven by: decision_criticality, vulnerability, oversight, opacity, monitoring",0.2.0
